"","Feature ID","Taxon","Domain","Supergroup","Phylum","Class","Order","Family","Genus","Species"
"11804","a71ae5668b2354bf04cdf421a84db3c5","Eukaryota;Rhizaria;Radiolaria;RAD-B;RAD-B_X","Eukaryota","Rhizaria","Radiolaria","RAD-B","RAD-B_X",NA,NA,NA
"11805","a71203b2c5e3c6ee404a9556a1a1fe0d","Eukaryota;Rhizaria;Cercozoa;Filosa-Sarcomonadea;Cercomonadida;Cercomonadidae;Cercomonas;Cercomonas_sp.;","Eukaryota","Rhizaria","Cercozoa","Filosa-Sarcomonadea","Cercomonadida","Cercomonadidae","Cercomonas","Cercomonas_sp."
"11806","a6f9c2a4ccafc3ddfc8dcf362a43235e","Unassigned","Unassigned",NA,NA,NA,NA,NA,NA,NA
"11807","a722a4a0ef23943aa74702e73fbc5c1e","Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes","Eukaryota","Opisthokonta","Fungi","Chytridiomycota","Chytridiomycotina","Chytridiomycetes",NA,NA
"11808","a72cb8ddb6906bdbe9bc0c2ce6db01aa","Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Oligohymenophorea_XX;Cardiostomatella;Cardiostomatella_sp.;","Eukaryota","Alveolata","Ciliophora","Oligohymenophorea","Oligohymenophorea_X","Oligohymenophorea_XX","Cardiostomatella","Cardiostomatella_sp."
"11809","a6f9868200ea629ca4b731fd904d2673","Unassigned","Unassigned",NA,NA,NA,NA,NA,NA,NA
"11810","a725cbd0fa79cdec23828444dd36cb10","Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;Filosa-Granofilosea_X;Massiteriidae;Massisteria","Eukaryota","Rhizaria","Cercozoa","Filosa-Granofilosea","Filosa-Granofilosea_X","Massiteriidae","Massisteria",NA
"11811","a6ce7d9cec8da44eff93a3c094b9c7f1","Unassigned","Unassigned",NA,NA,NA,NA,NA,NA,NA
"11812","a6faa944fe6b96e31752024128f85484","Eukaryota;Alveolata;Apicomplexa;Apicomplexa_X;Apicomplexa_XX;Apicomplexa_XXX;Apicomplexa_XXXX;Apicomplexa_XXXX_sp.;","Eukaryota","Alveolata","Apicomplexa","Apicomplexa_X","Apicomplexa_XX","Apicomplexa_XXX","Apicomplexa_XXXX","Apicomplexa_XXXX_sp."
"11813","a7446dba61b416c51763c299c53ed4be","Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-2;Dino-Group-I-Clade-2_X;Dino-Group-I-Clade-2_X_sp.;","Eukaryota","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-2","Dino-Group-I-Clade-2_X","Dino-Group-I-Clade-2_X_sp."
"11814","a74592889d0aca74d26b78bd57dd0646","Eukaryota;Alveolata;Dinoflagellata;Dinophyceae","Eukaryota","Alveolata","Dinoflagellata","Dinophyceae",NA,NA,NA,NA
"11815","a7401ff3a81fdbdcf7cb334d7c1d9fba","Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;Filosa-Granofilosea_X;Novel-Gran-234;Novel-Gran-234_X;Novel-Gran-234_X_sp.;","Eukaryota","Rhizaria","Cercozoa","Filosa-Granofilosea","Filosa-Granofilosea_X","Novel-Gran-234","Novel-Gran-234_X","Novel-Gran-234_X_sp."
"11816","a74e7d8c7357be2af116d641497dd5f2","Eukaryota;Apusozoa;Apusomonadidae;Apusomonadidae_Group-1;Apusomonadidae_Group-1_X;Apusomonadidae_Group-1_XX","Eukaryota","Apusozoa","Apusomonadidae","Apusomonadidae_Group-1","Apusomonadidae_Group-1_X","Apusomonadidae_Group-1_XX",NA,NA
"11817","a75a83e5b6c0d4ba4f0d943ab71afd1a","Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Pyramimonadaceae;Pyramimonas;Pyramimonas_sp.;","Eukaryota","Archaeplastida","Chlorophyta","Pyramimonadophyceae","Pyramimonadales","Pyramimonadaceae","Pyramimonas","Pyramimonas_sp."
"11818","a713bba8a5735bf76a0c8093197d92d5","Eukaryota","Eukaryota",NA,NA,NA,NA,NA,NA,NA
"11819","a72202ed9bc3a815f7030b9f10a9fa2b","Unassigned","Unassigned",NA,NA,NA,NA,NA,NA,NA
"11820","a752f4367bd4d9d7f8c33dda1e2c51e7","Eukaryota;Rhizaria;Cercozoa;Filosa-Granofilosea;Limnofilida;Limnofilidae;Limnofilidae_X;Limnofilidae_X_sp.;","Eukaryota","Rhizaria","Cercozoa","Filosa-Granofilosea","Limnofilida","Limnofilidae","Limnofilidae_X","Limnofilidae_X_sp."
"11821","a76a3ed22d45610ebb0cc6a447559af3","Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Thraustochytrida;Thraustochytriaceae","Eukaryota","Stramenopiles","Sagenista","Labyrinthulomycetes","Thraustochytrida","Thraustochytriaceae",NA,NA
"11822","a75d13ee7efd3d695e7a4163c1edd6ad","Eukaryota;Rhizaria;Cercozoa","Eukaryota","Rhizaria","Cercozoa",NA,NA,NA,NA,NA
